context category;category;category_sysname;;
2D;;;;
3D;;;;
Acting & Performing;Actors;;;
Actors Agencies;Marketing & Distribution;vermarktung-distribution-4;;
Actors Schools;Apprenticeship & Training;aus-weiterbildung-4;;
Additional Advisory Services;;;;
Adhesives;Art Supplies;;;
Advertising & Marketing;Advertising Agencies;;;
Advertising Agencies;Advertising Agencies;;;
Affiliate Marketing;PR & Marketing;;;
Agencies & Managment;PR & Marketing;;;
Agencies & Representatives;PR & Marketing;;;
animation;Animation;;;
Architecture & Landmarks;Architecture;architektur;;
Archive & Research;;;;
Archives Packaging & Display;Marketing & Distribution;vermarktung-distribution-1;;
Art Archives;Museums & Archives;museen-archive-1;;
Art-Buying-Agencies;Marketing & Distribution;vermarktung-distribution-1;;
Artists Agencies;Marketing & Distribution;vermarktung-distribution-1;;
Artists Supply;Art Supplies;;;
Arts Administration;Marketing & Distribution;vermarktung-distribution-1;;
Associations;;;;
Audio;Film & Broadcast;;;
Audiobook Publisher;Literature & Publishing;;;
audioguide;Marketing & Distribution;vermarktung-distribution-1;;
Awards;;;;
Boarding Houses;;;;
Book & Press Distribution;Marketing & Distribution;vermarktung-distribution-11;;
Book Publisher;Publishing Houses;;;
Booking-Agencies;Marketing & Distribution;vermarktung-distribution-4;;
Broadcast and Television;Film & Broadcast;;;
Buchbinder;;;;
Büroservice;;;;
Business Development;;;;
Business Institutions;;;;
Business Setup & Authorizations;;;;
Business Start-Up;;;;
Calender of Events (links);Online Portals;;;
Camera;Film Makers;;;
Capital Investments and Equipment;;;;
Cardboard;Art Supplies;;;
Casting-Agencies;Marketing & Distribution;vermarktung-distribution-4;;
Catering;Event Agencies;;;
Chambers;;;;
choreography;Choreographers;;;
Club;Clubs;;;
Clubs & Societies;Clubs;;;
Co-Working;;;;
Coaching;;;;
Collecting Societies;;;;
Competitions & Biddings;;;;
Composite Materials;Art Supplies;;;
Concept;;;;
Concrete;Art Supplies;;;
Conferences & Workshops;Event Organisers;;;
Consulting;;;;
Consulting Grants;;;;
Consulting, Law & Taxes;;;;
Contact Points;;;;
Corporate Design;Design;;;
Corporate Publishing;Publishing Houses;;;
Costumes;Textiles & Supplies;;;
Courses;;;;
Creation;;;;
Crowdfunding;;;;
Cultural Heritage;;;;
Cultural Institutes;;;;
Cultural Marketing;;;;
Cultural mediation in museums and exhibitions;Marketing & Distribution;vermarktung-distribution-1;;
Curator;Curators;;;
curator;Curators;;;
Daily Newspaper;Newspapers & Magazines;;;
dance;Theatre & Dance;;;
Dance Schools;Apprenticeship & Training;aus-weiterbildung-9;;
Database Marketing;PR & Marketing;;;
Decoration & Set-Design;Set Designers;;;
Digital Media Publisher;Publishing Houses;;;
digital print;;;;
Direct Marketing;PR & Marketing;;;
director;Film Makers;;;
Distribution Agency;;;;
Dolmetscher;Translators & Literary Editors;;;
Education;;;;
eLearning;;;;
Email Marketing;PR & Marketing;;;
Equipment, Props & Event technics;Event Agencies;;;
Evaluators & Experts;;;;
Event Agency;Event Agencies;;;
event location;Event Agencies;;;
Event Organizer;Event Organisers;;;
Event Services;Event Agencies;;;
Events & Performances;Event Agencies;;;
Events and Deadlines;Event Agencies;;;
Fabrics & Textiles;Textiles & Supplies;;;
Fabrics Sales Wholesale;Textiles & Supplies;;;
Farbe, Lacke & Pigmente;Art Supplies;;;
Fashion Styling;Fashion Design;;;
Fashion- & Designschools;Fashion Design;;;
Film Distributors;Marketing & Distribution;vermarktung-distribution-4;;
Film Marketing;Marketing & Distribution;vermarktung-distribution-4;;
Film Production;Film Makers;;;
Film- & Videoarchives;Museums & Archives;museen-archive-3;;
Filming Permits;Film Studios;;;
Filmstudios;Film Studios;;;
Filmsubsidy & Filmfonds;Financing & Funding;finanzierung-forderung-4;;
Fine Arts;Visual Arts;;;
Flat Agencies;;;;
Font Archives;;;;
Food Styling;;;;
Formation Consulting;;;;
Funding & Financial aids;;;;
Funding Consulting;;;;
Gips & Lehm;Art Supplies;;;
Glas, Keramik & Porzellan;Art Supplies;;;
Grants & Scholarships;;;;
Guidelines;;;;
Gummiwaren;Art Supplies;;;
Hair Styling;;;;
Hörspiel;Audiobooks & Podcasts;;;
Hotels;;;;
illustration;Illustration;;;
Incentives;;;;
Instrument Manufacturing;Instrument Makers;;;
Insurances;;;;
Intellectual Property Rights;;;;
Interior;Interior Design;;;
interior  design;Interior Design;;;
Intermediary;;;;
International;;;;
Internet Marketing;PR & Marketing;;;
Internship Exchange;;;;
IT & Computer;IT Services;;;
IT-Services;IT Services;;;
Job Exchanges;;;;
Jobs & Internships;;;;
journalism;Writers & Journalists;;;
Kopierwerke & Datenträger;;;;
Künstlersozialkasse;;;;
Legal Advices;;;;
Lektorat;Translators & Literary Editors;;;
Lesung;Marketing & Distribution;vermarktung-distribution-11;;
Lettershops;PR & Marketing;;;
Libraries;Libraries;;;
Light;Film Makers;;;
Literature;Literature & Publishing;;;
Local Radio;Radio Stations;;;
Local Television;TV Stations;;;
Local Television;TV Stations;;;
Locationscouting;Event Agencies;;;
Magazine;Newspapers & Magazines;;;
Magazine Publisher;Newspapers & Magazines;;;
Makeup;;;;
Management Consultancies;;;;
Market- & Opinion Research;PR & Marketing;;;
Marketing & Distribution;PR & Marketing;;;
Mask;;;;
Material- and Designresearch;Science;wissenschaft-2;;
Materials;Art Supplies;;;
Media Agencies;;;;
memorial sites;Museums & Archives;museen-archive;;
Messebau;Event Agencies;;;
Metals;Art Supplies;;;
Möbelbaubedarf;Art Supplies;;;
Mobile Marketing;PR & Marketing;;;
Modelagencies;;;;
Multilabel-Shop;;;;
Museums;;;;
Music Distributor;Marketing & Distribution;vermarktung-distribution-8;;
Music Labels;Producers;;;
Music Marketing;PR & Marketing;;;
music production;Producers;;;
Music Publisher;Marketing & Distribution;vermarktung-distribution-8;;
Music Schools;Apprenticeship & Training;aus-weiterbildung-8;;
musical composition;Composers;;;
musician;Music;;;
Musik Archives;Museums & Archives;museen-archive-5;;
National;;;;
Networks & Organisations;;;;
Networks & Platforms;Online Portals;;;
Newspaper Publisher;Newspapers & Magazines;;;
Office Services;;;;
Office-Sharing;;;;
Offices;;;;
Online Platform;Online Portals;;;
Online Shopping;;;;
Online-Platforms;Online Portals;;;
Online-Platforms;Online Portals;;;
opera;Theatres;;;
orchestra, ensemble, band;Bands;;;
Out-of-Home Advertising;Advertising Agencies;;;
Paper;Art Supplies;;;
performance;Theatre & Dance;;;
performing arts;Theatre & Dance;;;
Phone Marketing;PR & Marketing;;;
Photostudios;Photography;;;
Plastics;Art Supplies;;;
Postproduction;Flim Makers;;;
PR Agencies;PR & Marketing;;;
Prepress;;;;
Press & News Agencies;Marketing & Distribution ;vermarktung-distribution-6;;
Press & Public Relations;PR & Marketing;;;
Press Archives;Museums & Archives;museen-archive-6;;
Print;;;;
Print & Packaging;;;;
Private Radio;Radio Stations;;;
Private Television;TV Stations;;;
Problems of Approvals and Licenses;;;;
Producers;;;;
Product Placement;PR & Marketing;;;
Production;;;;
Production (manufacture);;;;
Production (stage);Theatre Makers;;;
Production management;;;;
Production Services;;;;
Produktion (manufacture);;;;
Professional Journal;Newspapers & Magazines;;;
Programming;Games & Interactive;;;
Project Exchanges;;;;
Promotion & Event;Event Agencies;;;
Promotion of Cultural Affairs;;;;
promotion of new blood;PR & Marketing;;;
Promotional Agency;PR & Marketing;;;
Props;Film Studios;;;
Public Radio;Radio Stations;;;
Public Television;TV Stations;;;
Publisher and Editorial Staff;Publishing Houses;;;
R&D and Innovation;;;;
Record Studio and Mastering;Recording Studios;;;
recording studio;Recording Studios;;;
Recruitment Agencies;;;;
RecruitmentSolid Survaces;;;;
Regional;;;;
Rehearsal- and Practice Rooms;;;;
Reiseauskünfte;;;;
Reiseplanung;;;;
Representatives;PR & Marketing;;;
Research Services;;;;
Retail;;;;
Retail Marketing;PR & Marketing;;;
Sales Promotion & Merchandising;PR & Marketing;;;
Sammlungen;;;;
scholarships;;;;
Schreibservice;;;;
Screen;;;;
Screen Printing;;;;
Security;Event Agencies;;;
Selfpublishing;Publishing Houses;;;
services for museums and exhibitions;;;;
SFX;Animation;;;
Shop, Markt, Verkauf;;;;
Shopping Window;;;;
Skulptur, Bildhauerei;Artists;;;
Software;Games & Interactive;;;
Sound;Recording Studios;;;
Sound Archives;Museums & Archives;museen-archive-5;;
Sound Studios;Recording Studios;;;
Spaces, Studios & Facilities;;;;
Sponsoring;PR & Marketing;;;
Stage;Theatre & Dance;;;
stage designer;Set Designers;buhnenbildner;;
Stage Setting;Set Designers;buhnenbildner;;
Start-Up and Spin-Off from University;;;;
State Media Institutes;;;;
Statics;Architecture;architektur-1;;
Stillife Styling;;;;
Stock Photography Agency;;;;
Stones;Art Supplies;;;
strategic planning;;;;
strategic planning;;;;
Studios and Studio Appartments;;;;
Styling & Decoration;;;;
Styling Agencies;;;;
Styling and Makeup;;;;
Tax Advices;;;;
Technical Colleges;;;;
Text;Writers & Journalists;schriftsteller-journalisten;;
Text Services;Journalists;;;
theater;Theatres;;;
theater;Theatres;;;
Time-Work;;;;
Trade Shows & Exhibitions;;;;
Training Schools;;;;
Translations;Translators & Literary Editors;;;
Travel, Transport & Logistics;;;;
Trend Research;PR & Marketing;;;
Trickfilm;Animation;;;
Typographie;Communication Design;;;
Unions;;;;
Universities;;;;
Venture Capital;;;;
venue for dance;Venues;spielstatten;;
venue for live music;Concert Venues;konzert-kulturhauser;;
VenueMultimedia Agencies;Event Agencies;;;
Veredelung & Weiterverarbeitung;;;;
Video;Film Makers;;;
Weekly Newspaper;Newspapers & Magazines;;;
Werbetechnik/-mittel;Advertising Agencies;;;
Women´s advancement;;;;
Wood;Art Supplies;;;
