term;category;category_sysname;;
Advertising & PR;Advertising & PR;;;
Architecture;Architecture;architektur;;
Design;Design;;;
Design Management ;Design;;;
Event Industry;Event Industry;;;
Fashion & Textile;Fashion & Textile;;;
Film & Broadcast;Film & Broadcast;;;
Fine Art;Visual Arts;;;
Games;Games & Interactive;;;
Games & Interactive;Games & Interactive;;;
Graphic-Design;Design;;;
Industrial Design;Design;;;
Kulturgeschichte;;;;
Literature & Publishing;Literature & Publishing;;;
Music;Music;;;
Photography;Photography;;;
Theatre & Dance;Theatre & Dance;;;
Web;Games & Interactive;;;
Webdesign;Games & Interactive;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
