context category title;context category slug;category title;category slug
2D;2d;Miscellaneous;sonstiges
3D;3d;Miscellaneous;sonstiges
Acting & Performing;acting-performing;Actors;schauspieler
Actors Agencies;actors-agencies;Vermarktung & Distribution;vermarktung-distribution-4
Actors Schools;actors-schools;Aus- & Weiterbildung;aus-weiterbildung-4
Additional Advisory Services;additional-advisory-services;Miscellaneous;sonstiges
Adhesives;adhesives;Künstlerbedarf;kunstlerbedarf
Advertising Agencies;advertising-agencies;Advertising Agencies;werbeagenturen
Advertising & Marketing;advertising-marketing;Advertising Agencies;werbeagenturen
Affiliate Marketing;affiliate-marketing;PR & Marketing;pr-marketing
Agencies & Representatives;agencies-and-representatives;PR & Marketing;pr-marketing
Agencies & Management;agencies-management;PR & Marketing;pr-marketing
animation;animation;Animation;animation
Trickfilm;animationcartoon;Animation;animation
Architecture & Landmarks;architecture-landmarks;Architektur;architektur-1
Archive & Research;archive-research;Miscellaneous;sonstiges
Archives;archives;Miscellaneous;sonstiges
Art Archives;art-archives;Museen & Archive;museen-archive-1
Art-Buying-Agencies;art-buying-agencies;Vermarktung & Distribution;vermarktung-distribution
Artists Agencies;artists-agencies;Vermarktung & Distribution;vermarktung-distribution-1
Artists Supply;artists-supply;Künstlerbedarf;kunstlerbedarf
Arts Administration;arts_administration;Vermarktung & Distribution;vermarktung-distribution-1
Associations;associations;Miscellaneous;sonstiges
Audio;audio;Film & Rundfunk;film-rundfunk
Audiobook Publisher;audiobook-publisher;Hörbücher & Podcasts;horbucher-podcasts
audioguide;audioguide;Vermarktung & Distribution;vermarktung-distribution-1
Awards;awards;Miscellaneous;sonstiges
Boarding Houses;boarding-houses;Miscellaneous;sonstiges
Book & Press Distribution;book-press-distribution;Vermarktung & Distribution;vermarktung-distribution-11
Book Publisher;book-publisher;Verlage;verlage
Booking-Agencies;booking-agencies;Vermarktung & Distribution;vermarktung-distribution-4
Broadcast and Television;broadcast-and-television;Film & Rundfunk;film-rundfunk
Buchbinder;buchbinder;Vermarktung & Distribution;vermarktung-distribution-11
Büroservice;bueroservice;Miscellaneous;sonstiges
Business Development;business-development;Miscellaneous;sonstiges
Business Institutions;business-institutions;Miscellaneous;sonstiges
Business Setup & Authorizations;business-setup-authorizations;Miscellaneous;sonstiges
Business Start-Up;business-start-up;Miscellaneous;sonstiges
Calender of Events (links);calender-events-links;Eventbranche;eventbranche
Camera;camera;Filmemacher;filmemacher
Capital Investments and Equipment;capital-investments-and-equipment;Miscellaneous;sonstiges
Cardboard;cardboard;Künstlerbedarf;kunstlerbedarf
Casting-Agencies;casting-agencies;Vermarktung & Distribution;vermarktung-distribution-4
Catering;catering;Eventagentur;eventagentur
Chambers;chambers;Miscellaneous;sonstiges
choreography;choreography;Choreographers;choreographen
Club;club;Clubs;clubs-diskotheken
Clubs & Societies;clubs-societies;Clubs;clubs-diskotheken
Co-Working;co-working;Miscellaneous;sonstiges
Coaching;coaching;Miscellaneous;sonstiges
Collecting Societies;collecting-societies;Miscellaneous;sonstiges
Competitions & Biddings;competitions-and-biddings;Miscellaneous;sonstiges
Composite Materials;composite-materials;Künstlerbedarf;kunstlerbedarf
Concept;concept;Miscellaneous;sonstiges
Concrete;concrete;Künstlerbedarf;kunstlerbedarf
Conferences & Workshops;conferences-workshops;Veranstalter;veranstalter
Consulting;consulting;Miscellaneous;sonstiges
Consulting Grants;consulting-grants;Miscellaneous;sonstiges
Consulting, Law & Taxes;consulting-law-taxes;Miscellaneous;sonstiges
Contact Points;contact-points;Miscellaneous;sonstiges
Corporate Publishing;corporate-publishing;Verlage;verlage
Corporate Design;corporate_design;Design;design
