id	title	sysname
2	Consulting, Law & Taxes	categories_consulting_law_taxes
4	Education	categories_education
5	Events and Deadlines	categories_exhibits_events_conferences
6	Funding & Financial aids	categories_funding_and_financial_aids
7	Jobs & Internships	categories_jobs_and_internships
8	Marketing & Distribution	categories_marketing_and_distribution
9	Networks & Organisations	categories_networks_and_federations
10	Production	categories_production
11	Spaces, Studios & Facilities	categories_spaces_studios_and_facilities
12	Business Setup & Authorizations	categories_startup
13	Awards	awards
15	Competitions & Biddings	tenders_and_biddings
16	Additional Advisory Services	additional_advisory_services
17	Evaluators & Experts	consultancy
18	Formation Consulting	formation_consulting
19	Funding Consulting	funding_consulting
20	Intellectual Property Rights	intellectual_property_rights
21	Künstlersozialkasse	kuenstlersozialkasse
22	Legal Advices	legal_advices
23	Material- and Designresearch	material_and_designresearch
24	Problems of Approvals and Licenses	problems_approvals_and_licenses
25	Tax Advices	tax_advices
27	Trend Research	trend_research_inspiration
29	Music Schools	music_schools
30	Online-Platforms	education_online_platforms
31	Training Schools	training_schools
32	Universities	universities
33	Business Start-Up	business_start_up
34	Capital Investments and Equipment	capital_investments_and_equipment
35	Consulting Grants	consulting_grants
36	Promotion of Cultural Affairs	promotion_cultural_affairs
37	R&D and Innovation	technology_research_and_development
38	Internship Exchange	internship_exchange
39	Job Exchanges	job_exchange
40	Regional	regional
41	National	national
42	International	international
43	Online-Platforms	online_platforms
44	Kopierwerke & Datenträger	presswerk
45	Fabrics & Textiles	fabrics
46	Fabrics Sales Wholesale	fabrics_sales_wholesale
47	Film Production	film_production
48	Instrument Manufacturing	instrument_manufacturing
49	Intermediary	intermediary
50	Materials	materials
51	Modelagencies	modelagencies
52	Music Labels	music_labels
53	Agencies & Representatives	photo_agencies_and_representatives
54	Producers	producers
55	Record Studio and Mastering	record_studio
56	Screen Printing	screen_printing
57	Styling and Makeup	styling_makeup
58	Office-Sharing	office_sharing
59	Offices	offices
60	Rehearsal- and Practice Rooms	rehearsal_and_practice_rooms
61	Studios and Studio Appartments	studios_and_studio_appartments
62	Contact Points	contact_points
63	Guidelines	guidelines
64	Literature	literature
65	Start-Up and Spin-Off from University	start_and_spin_university
66	Distribution Agency	distribution_agency
67	Press & News Agencies	press_agency
68	Lifestyle Magazine	lifestyle_magazine
69	Professional Journal	professional_journal
70	Online Shopping	online_shopping
71	Multilabel-Shop	multilabel_shop
72	Online Platform	online_platform
74	Music Distributor	music_distributor
75	Promotional Agency	promotional_agency
79	Event Organizer	event_organizer
80	scholarships	scholarships
81	Management Consultancies	clt_management
82	Cultural Heritage	cultural_heritage
83	Publisher and Editorial Staff	publisher_and_editorial_staff
84	Broadcast and Television	broadcast_and_television
85	Public Television	public_television
86	Private Television	private_television
87	Local Television	local_television
88	Public Radio	public_radio
89	Private Radio	private_radio
90	Book Publisher	book_publisher
91	Newspaper Publisher	newspaper_publisher
92	Magazine Publisher	magazine_publisher
93	Music Publisher	music_publisher
94	Women´s advancement	frauen
96	Technical Colleges	technical_college
97	Creation	content_originators
98	2D	2d
99	3D	3d
100	Text	text
101	Audio	audio
102	Screen	screen
103	Acting & Performing	acting_performing
104	Concept	concept
106	Agencies & Management	agenten_management
107	Art-Buying-Agencies	art_buying_agency
108	Booking-Agencies	booking_agency
109	Casting-Agencies	casting_agency
110	Artists Agencies	artists_agencies
112	Recruitment	recruitment
113	Representatives	representatives
114	Actors Agencies	actors_agencies
115	Styling Agencies	styling_agencies
116	VIP Agencies	vip_agencies
117	Archive & Research	archive_research
118	Antique Shops	antiquariate
119	Clipping Services	ausschnittdienste
120	Libraries & Media Centres	bibliotheken_mediatheken
121	Stock Photography Agency	bildagenturen
122	Specialised Bookstores	fachbuchhandlungen
123	Film- & Videoarchives	film_videoarchives
124	Art Archives	art_archives
126	Musik Archives	musik_archives
127	Press Archives	press_archives
128	Research Services	research_services
130	Sound Archives	sound_archives
131	Production (stage)	production_stage
132	Postproduction	postproduction
133	Production Services	production_services
134	Equipment, Props & Event technics	equipment_props_event_technics
135	Styling & Decoration	styling_decoration
