id	title	slug
96	Fashion & Textile	fashion-and-textile
97	Design	design
99	Music	music
100	Theatre & Dance	theatre-and-dance
101	Fine Art	fine-art
102	Literature & Publishing	literature-and-publishing
103	Architecture	architecture
104	Advertising & PR	advertising-and-pr
105	Film & Broadcast	film-and-broadcast
352	Photography	photography
353	Games & Interactive	games-and-interactive
391	Graphic-Design	graphic-design
393	Industrial Design	industrial-design
402	Games	games
403	Web	web
941	Event Industry	events
942	Webdesign	webdesign
949	Kulturgeschichte	cultural-history
969	Design Management	designmanagement
